年度,選舉種類,選舉種類名稱,檔別,省市,縣市,選舉區,鄉鎮市區,村里,行政區名稱,號次,姓名,政黨代號,政黨名稱,性別,年齡,現任,當選註記,當選註記語意,當選
2022,T2,議員（平地原住民）,city,10,002,11,000,0000,第11選舉區,1,孫湯玉惠 aly saku,999,無黨籍及未經政黨推薦,女,55,Y,*,當選,Y
2022,T2,議員（平地原住民）,city,10,004,11,000,0000,第11選舉區,1,法隆伊佑,16,民主進步黨,男,50,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,004,11,000,0000,第11選舉區,2,林秉君 kaying．kuying．kalang,1,中國國民黨,女,38,Y,*,當選,Y
2022,T2,議員（平地原住民）,city,10,005,07,000,0000,第07選舉區,1,朱仲一 Kalih·Tahes·Didiyun,999,無黨籍及未經政黨推薦,男,33,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,005,07,000,0000,第07選舉區,2,楊文昌 Baiho·Watan,999,無黨籍及未經政黨推薦,男,62,Y,*,當選,Y
2022,T2,議員（平地原住民）,city,10,007,09,000,0000,第09選舉區,1,陳榮妹,1,中國國民黨,女,59,Y,*,當選,Y
2022,T2,議員（平地原住民）,city,10,007,09,000,0000,第09選舉區,2,張新男,999,無黨籍及未經政黨推薦,男,61,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,008,06,000,0000,第06選舉區,1,石慶龍Rungquan．Lhkatafatu,999,無黨籍及未經政黨推薦,男,66,Y,*,當選,Y
2022,T2,議員（平地原住民）,city,10,008,06,000,0000,第06選舉區,2,江秉翰,16,民主進步黨,男,49,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,013,08,000,0000,第08選舉區,1,潘世杰,999,無黨籍及未經政黨推薦,男,59,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,013,08,000,0000,第08選舉區,2,潘翠雲,1,中國國民黨,女,53,N,*,當選,Y
2022,T2,議員（平地原住民）,city,10,013,08,000,0000,第08選舉區,3,潘坤福,1,中國國民黨,男,65,Y,,未當選,N
2022,T2,議員（平地原住民）,city,10,014,07,000,0000,第07選舉區,1,陽昇宏,1,中國國民黨,男,56,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,014,07,000,0000,第07選舉區,2,張信一,999,無黨籍及未經政黨推薦,男,55,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,014,07,000,0000,第07選舉區,3,林秀信,999,無黨籍及未經政黨推薦,男,76,N,,未當選,N
2022,T2,議員（平地原住民）,city,10,014,07,000,0000,第07選舉區,4,方賢仁,1,中國國民黨,男,66,Y,*,當選,Y
2022,T2,議員（平地原住民）,city,10,014,07,000,0000,第07選舉區,5,陳政宗,999,無黨籍及未經政黨推薦,男,49,Y,*,當選,Y
